city,date,station,trips
Mountain View,07/02/2014,27,4
Mountain View,07/02/2014,28,7
Mountain View,07/02/2014,29,1
Mountain View,07/02/2014,30,1
Mountain View,07/02/2014,31,2
Mountain View,07/02/2014,32,1
Mountain View,07/02/2014,33,1
Mountain View,08/02/2014,27,1
Mountain View,08/02/2014,28,3
Mountain View,08/02/2014,31,2
Mountain View,08/02/2014,32,2
Mountain View,08/02/2014,33,2
Mountain View,09/02/2014,28,2
Mountain View,09/02/2014,29,2
Mountain View,09/02/2014,31,1
Mountain View,09/02/2014,32,1
Mountain View,10/02/2014,27,3
Mountain View,10/02/2014,28,13
Mountain View,10/02/2014,29,2
Mountain View,10/02/2014,31,3
Mountain View,10/02/2014,32,4
Mountain View,11/02/2014,27,5
Mountain View,11/02/2014,28,4
Mountain View,11/02/2014,29,1
Mountain View,11/02/2014,30,2
Mountain View,11/02/2014,31,2
Mountain View,11/02/2014,32,3
Mountain View,12/02/2014,27,6
Mountain View,12/02/2014,28,11
Mountain View,12/02/2014,29,2
Mountain View,12/02/2014,30,2
Mountain View,12/02/2014,31,3
Mountain View,12/02/2014,32,2
Mountain View,12/02/2014,33,2
Mountain View,13/02/2014,27,6
Mountain View,13/02/2014,28,12
Mountain View,13/02/2014,29,3
Mountain View,13/02/2014,30,1
Mountain View,13/02/2014,31,3
Mountain View,13/02/2014,32,2
Mountain View,13/02/2014,33,1
Mountain View,14/02/2014,27,3
Mountain View,14/02/2014,28,9
Mountain View,14/02/2014,29,1
Mountain View,14/02/2014,30,1
Mountain View,14/02/2014,31,2
Mountain View,14/02/2014,32,5
Mountain View,14/02/2014,33,1
Mountain View,15/02/2014,27,1
Mountain View,15/02/2014,28,2
Mountain View,15/02/2014,30,1
Mountain View,15/02/2014,32,1
Mountain View,16/02/2014,29,1
Mountain View,17/02/2014,27,1
Mountain View,17/02/2014,28,2
Mountain View,17/02/2014,29,3
Mountain View,17/02/2014,30,1
Mountain View,17/02/2014,31,1
Mountain View,17/02/2014,32,2
Mountain View,17/02/2014,33,1
Mountain View,18/02/2014,27,3
Mountain View,18/02/2014,28,12
Mountain View,18/02/2014,29,4
Mountain View,18/02/2014,30,2
Mountain View,18/02/2014,31,3
Mountain View,18/02/2014,32,7
Mountain View,19/02/2014,27,4
Mountain View,19/02/2014,28,6
Mountain View,19/02/2014,29,4
Mountain View,19/02/2014,30,1
Mountain View,19/02/2014,31,3
Mountain View,19/02/2014,32,3
Mountain View,19/02/2014,33,2
Mountain View,20/02/2014,27,5
Mountain View,20/02/2014,28,8
Mountain View,20/02/2014,29,3
Mountain View,20/02/2014,30,1
Mountain View,20/02/2014,31,2
Mountain View,20/02/2014,32,2
Mountain View,20/02/2014,33,2
Mountain View,21/02/2014,27,5
Mountain View,21/02/2014,28,11
Mountain View,21/02/2014,29,4
Mountain View,21/02/2014,30,2
Mountain View,21/02/2014,31,2
Mountain View,21/02/2014,32,3
Mountain View,21/02/2014,33,4
Mountain View,22/02/2014,27,2
Mountain View,22/02/2014,28,4
Mountain View,22/02/2014,29,1
Mountain View,22/02/2014,30,1
Mountain View,22/02/2014,31,1
Mountain View,22/02/2014,32,2
Mountain View,22/02/2014,33,2
Mountain View,23/02/2014,27,7
Mountain View,23/02/2014,28,6
Mountain View,23/02/2014,29,1
Mountain View,23/02/2014,30,2
Mountain View,23/02/2014,31,3
Mountain View,23/02/2014,32,5
Mountain View,23/02/2014,33,2
Mountain View,24/02/2014,27,4
Mountain View,24/02/2014,28,14
Mountain View,24/02/2014,29,3
Mountain View,24/02/2014,30,3
