id;point;convert_point;name;oldName;isActive;station;institute;trackNo;usableLength;trackSurface;frameType;frontLength;lighting;plkId;isEsriStation
799;0xE6100000010C508FF92F39AA4A40F0E94F2748113340;POINT (19.067507226000032 53.329870221000078);Książki;Książki;tak;" ";Bydgoszcz;" ";" ";" ";" ";" ";" ";20933;1
800;0xE6100000010CA033A0B3CC934A40804F891E0A9E3240;POINT (18.617341908000071 53.154684499000041);Grzywna;Grzywna;tak;" ";Bydgoszcz;" ";" ";" ";" ";" ";" ";20388;1
801;0xE6100000010C280E00BFC0974A40A0CCD8A7CE983240;POINT (18.596903315000077 53.185569644000054);Chełmża;Chełmża;tak;Chełmża;Bydgoszcz;47;498;R-3150;boczna;225;nie ma;20164;1
802;0xE6100000010CC044A747D09E4A40D09B7794319C3240;POINT (18.610131530000046 53.240731198000049);Wrocławki;Wrocławki;tak;" ";Bydgoszcz;" ";" ";" ";" ";" ";" ";20255;1
803;0xE6100000010CA020923D1C804A408065E219DE9D3240;POINT (18.616670244000034 53.000861832000055);Toruń Główny;Toruń Główny;tak;Toruń Główny;Bydgoszcz;45;559;P - 5139;boczna;451;nie ma;19703;1
804;0xE6100000010C18E3669FE4664A4090632857133E3240;POINT (18.24248261200006 52.803852010000071);Inowrocław;Inowrocław;tak;" ";Bydgoszcz;" ";" ";" ";" ";" ";" ";18705;1
805;0xE6100000010CF027ACBFEB5F4A40601119E9D41D3240;POINT (18.116530007000051 52.749381980000067);Janikowo;Janikowo;tak;Janikowo;Bydgoszcz;5;794;P-3042;" ";270;nie ma;19091;1
806;0xE6100000010CA0A5FA54E96A4A4000A2640FC0FA3140;POINT (17.979493105000074 52.835245726000039);Wapienno;Wapienno;nie;" ";Bydgoszcz;" ";" ";" ";" ";" ";" ";19604;1
807;0xE6100000010C68A3ECFA33914A4060A0B67D77FD3140;POINT (17.990104539000072 53.134398809000061);Bydgoszcz Główna;Bydgoszcz Gł.;tak;Bydgoszcz Główna;Bydgoszcz;107;318;P-4200;" ";280;nie ma;18408;1
808;0xE6100000010C509E42B38D2A4A40803746BAB8A43140;POINT (17.64344372000005 52.332449348000068);Gutowo Wielkopolskie;Gutowo Wielkie;tak;" ";Poznań;" ";" ";" ";" ";" ";" ";30072;1
809;0xE6100000010CD8E46A7DB4264A40C01C7CBC6B0B3140;POINT (17.044612675000053 52.302383115000055);Gądki;Gadki;tak;" ";Poznań;" ";" ";" ";" ";" ";" ";30239;1
810;0xE6100000010CF838ED454E244A40803B440E57193140;POINT (17.098984615000063 52.28363870700008);Kórnik;Kórnik;tak;" ";Ostrów Wielkopolski;" ";" ";" ";" ";" ";" ";30247;1
811;0xE6100000010C80D9C520AF214A4040357FA26B283140;POINT (17.157892376000063 52.263156983000044);Pierzchno;Pierzchno;tak;" ";Ostrów Wielkopolski;" ";" ";" ";" ";" ";" ";30221;1
812;0xE6100000010CB0A0467A811F4A4070662249697E3140;POINT (17.493794032000039 52.246138844000029);Książno;Książno;tak;" ";Ostrów Wielkopolski;" ";" ";" ";" ";" ";" ";44784;1
813;0xE6100000010C4063C2DCEC1B4A4090FB201C4A463140;POINT (17.274568327000054 52.218165965000026);Środa Wielkopolska;Środa Wielkopolska;tak;Środa Wielkopolska;Ostrów Wlkp.;6;436;P - 3750;" ";400;nie ma;30205;1
814;0xE6100000010C48F603E9A51A4A4020B563A6117A3140;POINT (17.476831817000061 52.208188178000057);Miłosław;Miłosław;tak;" ";Ostrów Wielkopolski;" ";" ";" ";" ";" ";" ";44776;1
