sv_kod;kod;plk;stacja;opiskod1;pelna;dzielnica;szerokosc;dlugosc;miasto;ulica;kod_p;gmina;kraj;wojewodztwo;nrposesjiwpis;promien;jednorazowy;kod_pracy;uwagi;blok
SV0000088588;BORKI OPOLSKIE (S);61069;BORKI OPOLSKIE;BORKI OPOLSKIE (STACJA);BORKI OPOLSKIE KOLEJOWA woj.OPOLSKIE Stacja:BORKI OPOLSKIE;NULL;50.74294189;17.88169640;BORKI OPOLSKIE;KOLEJOWA;46-081;NULL;POLSKA;OPOLSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;BORKOWICE (D);NULL;NULL;BORKOWICE (DOM);NULL;NULL;NULL;NULL;BORKOWICE;NULL;NULL;NULL;NULL;NULL;NULL;2000.000;NULL;s;SV0000090161;NULL
SV0000090165;BORKOWICE (S);61424;BORKOWICE;BORKOWICE (STACJA);Wiejska 5A, 46-243 Korzeniaki, Polska;NULL;50.93226030;18.15592730;KORZENIAKI;Wiejska;46-243;gmina Kluczbork;POLSKA;OPOLSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000090166;BORKOWO (D);NULL;NULL;BORKOWO (DOM);Kolejowa 2, 83-330 Borkowo, Polska;NULL;54.33547000;18.33469000;BORKOWO;Kolejowa;83-330;gmina Żukowo;POLSKA;POMORSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000087084;BORKOWO (S);17848;BORKOWO;BORKOWO (STACJA);BORKOWO KOLEJOWA woj.POMORSKIE Stacja:BORKOWO;NULL;54.33500389;18.33390946;BORKOWO;KOLEJOWA;83-330;NULL;POLSKA;POMORSKIE;NULL;500.000;NULL;NULL;NULL;NULL
NULL;BORONÓW (D);NULL;NULL;BORONÓW (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000085258;BORONÓW (S);72066;BORONÓW;BORONÓW (STACJA);BORONÓW DWORCOWA woj.ŚLĄSKIE Stacja:BORONÓW;NULL;50.66636290;18.90089783;BORONÓW;DWORCOWA;42-283;NULL;POLSKA;ŚLĄSKIE;NULL;500.000;NULL;NULL;NULL;NULL
NULL;BOROWA (D);NULL;NULL;BOROWA (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOROWA (S);NULL;NULL;BOROWA (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000091579;BOROWA OLEŚNICKA (S);59345;BOROWA OLEŚNICKA;BOROWA OLEŚNICKA (STACJA);Lipowa, Borowa, Polska;NULL;51.18478660;17.28002240;BOROWA OLEŚNICKA;Lipowa;55-091;powiat wrocławski;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;BOROWCE (D);NULL;NULL;BOROWCE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOROWCE (S);NULL;NULL;BOROWCE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOROWE (D);NULL;NULL;BOROWE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOROWE (S);NULL;NULL;BOROWE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOROWICE (D);NULL;NULL;BOROWICE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOROWICE (S);NULL;NULL;BOROWICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086494;BOROWIKI (S);25320;BOROWIKI;BOROWIKI (STACJA);BOROWIKI (STACJA) 17-332 woj.PODLASKIE;NULL;52.49147390;23.20625830;BOROWIKI;NULL;17-332;NULL;POLSKA;PODLASKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;BOROWINA (S);NULL;NULL;BOROWINA (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOROWINY (D);NULL;NULL;BOROWINY (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOROWINY (S);NULL;NULL;BOROWINY (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOROWNO (D);NULL;NULL;BOROWNO (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOROWNO (S);NULL;NULL;BOROWNO (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOROWO (D);NULL;NULL;BOROWO (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000087772;BOROWO (S);NULL;NULL;BOROWO (STACJA);BOROWO (STACJA) 64-020 woj.WIELKOPOLSKIE;NULL;52.13436000;16.76474000;BOROWO;NULL;64-020;NULL;POLSKA;WIELKOPOLSKIE;NULL;2000.000;NULL;NULL;l;NULL
SV0000091745;BORÓW (D);NULL;NULL;BORÓW (DOM);2794D, Borów, Polska;NULL;50.98102980;16.23774580;DIERZKÓW;2794D;58-173;powiat świdnicki;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000091744;BORÓW (S);53629;BORÓW;BORÓW (STACJA);2794D, Borów, Polska;NULL;50.98102980;16.23774580;BORÓW;2794D;58-173;powiat świdnicki;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000091746;BORÓW KG GNIEW (S);240722;BORÓW KG GNIEW.;BORÓW KG GNIEW (STACJA);Borowska 9, 58-150 Kostrza, Polska;NULL;50.98054180;16.25756850;BORÓW KG GNIEW;Borowska;58-150;powiat świdnicki;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;BORÓWKA (D);NULL;NULL;BORÓWKA (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BORÓWKA (S);NULL;NULL;BORÓWKA (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BORÓWNO (D);NULL;NULL;BORÓWNO (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BORÓWNO (S);NULL;NULL;BORÓWNO (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086427;BORSUKÓWKA (S);24083;BORSUKÓWKA;BORSUKÓWKA (STACJA);BORSUKÓWKA (STACJA) 16-002 woj.PODLASKIE;NULL;53.23935530;22.93585830;BORSUKÓWKA;NULL;16-002;NULL;POLSKA;PODLASKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000089245;BORSZEWICE (S);178638;BORSZEWICE;BORSZEWICE (STACJA);BORSZEWICE (STACJA) 98-100 woj.ŁÓDZKIE;NULL;51.60813920;19.03614300;BORSZEWICE;NULL;98-100;NULL;POLSKA;ŁÓDZKIE;NULL;2000.000;NULL;NULL;l;NULL
NULL;BORUCHOWO (D);NULL;NULL;BORUCHOWO (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BORUCHOWO (S);NULL;NULL;BORUCHOWO (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BORUCICE (D);NULL;NULL;BORUCICE (DOM);NULL;NULL;NULL;NULL;BORUCICE;NULL;NULL;NULL;NULL;NULL;NULL;1000.000;NULL;s;SV00454;NULL
SV0000088647;BORUCICE (S);216137;BORUCICE;BORUCICE (STACJA);BORUCICE (STACJA) 46-166 woj.OPOLSKIE;NULL;50.98062031;17.56070957;BORUCICE;NULL;46-166;NULL;POLSKA;OPOLSKIE;NULL;2000.000;NULL;NULL;l;NULL
SV00454;BORUCICE BORUCICE 17/2;NULL;NULL;BORUCICE BORUCICE 17/2;17, 49-315 BORUCICE, POLSKA;NULL;50.98184820;17.55633480;NULL;NULL;49-315;gmina Lubsza;POLSKA;województwo opolskie;NULL;4000.000;NULL;NULL;NULL;NULL
NULL;BORUCINEK (D);NULL;NULL;BORUCINEK (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BORUCINEK (S);NULL;NULL;BORUCINEK (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086864;BORUJSKP JW4499 (S);15180;BORUJSKO;BORUJSKP JW4499 (STACJA);BORUJSKP JW4499 (STACJA) 78-530 woj.ZACHODNIOPOMORSKIE;NULL;53.39591793;16.10731886;BORUJSKO;NULL;78-530;NULL;POLSKA;ZACHODNIOPOMORSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000092050;BORYSEW (D);NULL;NULL;BORYSEW (DOM);99-200 Borysew, Polska;NULL;51.88014000;18.93530000;BORYSEW;NULL;99-200;gmina Poddębice;POLSKA;ŁÓDZKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000092064;BORYSEW (S);NULL;NULL;BORYSEW (STACJA);2531E, 99-200 Borysew, Polska;NULL;51.88349680;18.93657050;BORYSEW;2531E;99-200;gmina Poddębice;POLSKA;ŁÓDZKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;BORYSŁAWICE (D);NULL;NULL;BORYSŁAWICE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000085104;BORYSŁAWICE (S);19141;BORYSŁAWICE;BORYSŁAWICE (STACJA);BORYSŁAWICE (STACJA) 62-640 woj.WIELKOPOLSKIE;NULL;52.22540000;18.78761000;BORYSŁAWICE;NULL;62-640;NULL;POLSKA;WIELKOPOLSKIE;NULL;600.000;NULL;NULL;l;NULL
NULL;BORZECHOWO (D);NULL;NULL;BORZECHOWO (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BORZECHOWO (S);NULL;NULL;BORZECHOWO (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000088092;BOSZKOWO (S);43356;BOSZKOWO;BOSZKOWO (STACJA);BOSZKOWO (STACJA) 64-140 woj.WIELKOPOLSKIE;NULL;51.95942283;16.33708959;BOSZKOWO LETNISKO;NULL;64-140;NULL;POLSKA;WIELKOPOLSKIE;NULL;2000.000;NULL;NULL;l;NULL
NULL;BOTKUNY (S);NULL;NULL;BOTKUNY (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOTKUNY SKŁ DR (S);NULL;NULL;BOTKUNY SKŁADNICA DREWNA (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000088959;BOŻA WOLA (S);34397;BOŻA WOLA;BOŻA WOLA (STACJA);BOŻA WOLA (STACJA) 05-332 woj.MAZOWIECKIE;NULL;52.11805360;21.68439390;BOŻA WOLA;NULL;05-332;NULL;POLSKA;MAZOWIECKIE;NULL;2000.000;NULL;NULL;l;NULL
NULL;BOŻĄCIN (S);NULL;NULL;BOŻĄCIN (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOŻE (D);NULL;NULL;BOŻE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOŻE (S);NULL;NULL;BOŻE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086078;BOŻEPOLE WIELKIE (S);5421;BOŻEPOLE WIELKIE;BOŻEPOLE WIELKIE (STACJA);BOŻEPOLE WIELKIE (STACJA) 84-214 woj.POMORSKIE;NULL;54.56878613;17.96804690;BOŻEPOLE WIELKIE;NULL;84-214;NULL;POLSKA;POMORSKIE;NULL;600.000;NULL;NULL;l;NULL
NULL;BOŻĘCIN (D);NULL;NULL;BOŻĘCIN (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BOŻĘCIN (S);NULL;NULL;BOŻĘCIN (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BRACHLEWO (D);NULL;NULL;BRACHLEWO (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000088780;BRACHLEWO (S);23192;BRACHLEWO;BRACHLEWO (STACJA);BRACHLEWO (STACJA) 82-500 woj.POMORSKIE;NULL;53.80437900;18.96639350;BRACHLEWO;NULL;82-500;NULL;POLSKA;POMORSKIE;NULL;2000.000;NULL;NULL;l;NULL
SV0000091738;BRACHÓW (S);53595;BRACHÓW;BRACHÓW (STACJA);2786D, Słup, Polska;NULL;51.10637350;16.12941750;BRACHÓW;2786D;59-424;powiat jaworski;POLSKA;DOLNOŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000090378;BRALIN (S);45773;BRALIN;BRALIN (STACJA);Dworcowa 1, 63-640 Bralin, Polska;NULL;51.28913000;17.89581000;BRALIN;Dworcowa;63-640;gmina Bralin;POLSKA;WIELKOPOLSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;BRAMKI (D);NULL;NULL;BRAMKI (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BRAMKI (S);NULL;NULL;BRAMKI (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BRANIEWO (M);NULL;NULL;BRANIEWO (MIASTO);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086900;BRANIEWO (S);11254;BRANIEWO;BRANIEWO (STACJA);BRANIEWO DWORCOWA woj.WARMIŃSKO-MAZURSKIE Stacja:BRANIEWO;NULL;54.38125260;19.84148900;BRANIEWO;DWORCOWA;14-500;NULL;POLSKA;WARMIŃSKO-MAZURSKIE;NULL;500.000;NULL;NULL;NULL;NULL
NULL;BRATKÓW (D);NULL;NULL;BRATKÓW (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BRATKÓW (K);NULL;NULL;BRATKÓW (KOPALNIA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000089900;BRATKÓW (S);49742;BRATKÓW;BRATKÓW (STACJA);Książ, Smardzewice, gmina Tomaszów Mazowiecki, Polska;NULL;51.47287600;20.09317650;BRATKÓW;NULL;97-200;gmina Tomaszów Mazowiecki;POLSKA;ŁÓDZKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;BRATKÓW ZGORZ (S);NULL;NULL;BRATKÓW ZGORZELECKI (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BRATOSZEWICE (S);NULL;NULL;BRATOSZEWICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BREŃ (D);NULL;NULL;BREŃ (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BREŃ (S);NULL;NULL;BREŃ (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BREST CENTRALNY (S);NULL;NULL;BREST CENTRALNY (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BREST SIEWIERNY (S);NULL;NULL;BREST SIEWIERNY (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BREST ZAPADNYJ (S);NULL;NULL;BREST ZAPADNYJ (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BROCHOCIN (D);NULL;NULL;BROCHOCIN (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BROCHOCIN (S);NULL;NULL;BROCHOCIN (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BROCHOCIN TRZEB (S);NULL;NULL;BROCHOCIN TRZEBNICKI (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BROCHÓW (D);NULL;NULL;BROCHÓW (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BROCHÓW (S);NULL;NULL;BROCHÓW (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BRODNICA (D);NULL;NULL;BRODNICA (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BRODNICA (M);NULL;NULL;BRODNICA (MIASTO);NULL;NULL;NULL;NULL;BRODNICA;NULL;NULL;NULL;NULL;NULL;NULL;1000.000;NULL;s;SV0000088821;NULL
SV0000088821;BRODNICA (S);21204;BRODNICA;BRODNICA (STACJA);BRODNICA ZAMKOWA woj.KUJAWSKO-POMORSKIE Stacja:BRODNICA;NULL;53.25811020;19.39943280;BRODNICA;ZAMKOWA;87-300;NULL;POLSKA;KUJAWSKO-POMORSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;BRODNICA U BOSMA (H);NULL;NULL;BRODNICA H.U BOSMANA (HOTEL);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000092254;BRODY (D);NULL;NULL;BRODY (DOM);83-140 Brody Pomorskie, Polska;NULL;53.86343000;18.75826000;BRODY;NULL;83-140;gmina Gniew;POLSKA;POMORSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000092253;BRODY (S);8524;BRODY POMORSKIE;BRODY (STACJA);24, 83-140 Brody Pomorskie, Polska;NULL;53.86026000;18.76147890;BRODY;NULL;83-140;gmina Gniew;POLSKA;POMORSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000088251;BRODY IŁZECKIE (S);49288;BRODY IŁZECKIE;BRODY IŁZECKIE (STACJA);BRODY NAD TORAMI woj.ŚWIĘTOKRZYSKIE Stacja:BRODY IŁZECKIE;NULL;51.02147790;21.19977620;BRODY;NAD TORAMI;27-230;NULL;POLSKA;ŚWIĘTOKRZYSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000092252;BRODY POMORSKIE (S);8524;BRODY POMORSKIE;BRODY POMORSKIE (STACJA);83-140 Brody Pomorskie, Polska;NULL;53.86343000;18.75826000;BRODY POMORSKIE;NULL;83-140;gmina Gniew;POLSKA;POMORSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000089092;BRODY WARSZAW (S);36483;BRODY WARSZAWSKIE;BRODY WARSZAWSKIE (STACJA);BRODY WARSZAWSKIE (STACJA) 05-180 woj.MAZOWIECKIE;NULL;52.50529120;20.73900510;BRODY WARSZAW;NULL;05-180;NULL;POLSKA;MAZOWIECKIE;NULL;2000.000;NULL;NULL;l;NULL
NULL;BRODZISZÓW (D);NULL;NULL;BRODZISZÓW (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BRODZISZÓW (S);NULL;NULL;BRODZISZÓW (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BRODZKIE MŁYNY (S);NULL;NULL;BRODZKIE MŁYNY (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BROK (D);NULL;NULL;BROK (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BROK (S);NULL;NULL;BROK (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086658;BROKĘCINO (S);3228;BROKĘCINO;BROKĘCINO (STACJA);BROKĘCINO (STACJA) 64-965 woj.WIELKOPOLSKIE;NULL;53.56270965;16.81765427;BROKĘCINO;NULL;64-965;NULL;POLSKA;WIELKOPOLSKIE;NULL;500.000;NULL;NULL;l;NULL
NULL;BRONISZEW (D);NULL;NULL;BRONISZEW (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BRONISZEW (S);NULL;NULL;BRONISZEW (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BRONISZEWICE (D);NULL;NULL;BRONISZEWICE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BRONISZEWICE (S);NULL;NULL;BRONISZEWICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BRONKI (D);NULL;NULL;BRONKI (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;BRONKI (S);NULL;NULL;BRONKI (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000087564;BRONÓW (S);44867;BRONÓW;BRONÓW (STACJA);BRONÓW (STACJA) 63-300 woj.WIELKOPOLSKIE;NULL;51.79683712;17.77311520;BRONÓW;NULL;63-300;NULL;POLSKA;WIELKOPOLSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000085216;CHORZEW SIEMK (S);72058;CHORZEW SIEMKOWICE;CHORZEW SIEMKOWICE (STACJA);CHORZEW SIEMKOWICE (STACJA) 98-354 woj.ŁÓDZKIE;NULL;51.21026785;18.94177643;CHORZEW;NULL;98-354;NULL;POLSKA;ŁÓDZKIE;NULL;600.000;NULL;NULL;l;NULL
SV0000094333;CHORZEW SIEMKOWI (M);NULL;NULL;CHORZEW SIEMKOWICE (MIASTO);98-358 Chorzew, Polska;NULL;51.20485590;18.95300650;CHORZEW SIEMKOWI;NULL;98-354;gmina Kiełczygłów;POLSKA;ŁÓDZKIE;NULL;500.000;NULL;NULL;NULL;NULL
NULL;CHORZÓW (M);NULL;NULL;CHORZÓW (MIASTO);NULL;NULL;NULL;NULL;CHORZÓW;NULL;NULL;NULL;NULL;NULL;NULL;3000.000;NULL;S;SV00826;NULL
SV0000091516;CHORZÓW (S);72272;CHORZÓW MIASTO;CHORZÓW (STACJA);Kolejowa 1, Chorzów, Polska;Chorzów Trzeci;50.31014130;18.97173420;CHORZÓW;Kolejowa;41-503;Chorzów;POLSKA;ŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000091515;CHORZÓW BATORY (S);73106;CHORZÓW BATORY;CHORZÓW BATORY (STACJA);DWORZEC PKP CHORZÓW BATORY, ARMII KRAJOWEJ 46, 41-508 CHORZÓW, POLSKA;Kolonia Joanny;50.27863090;18.94493580;Chorzów;Armii Krajowej;41-508;Chorzów;POLSKA;województwo śląskie;NULL;1000.000;NULL;NULL;NULL;NULL
SV0000091514;CHORZÓW MIASTO (S);72272;CHORZÓW MIASTO;CHORZÓW MIASTO (STACJA);Dworzec PKP Chorzów Miasto, Plac Dworcowy 6, Chorzów, Polska;Osiedle Irys;50.29858520;18.95020520;CHORZÓW;Plac Dworcowy;41-500;Chorzów;POLSKA;ŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV00826;CHORZÓW NIEDŹWIEDZINIEC 12 E/6;NULL;NULL;CHORZÓW NIEDŹWIEDZINIEC 12 E/6;CHORZÓW NIEDŹWIEDZINIEC 12 E/6;Chorzów Niedźwiedziniec;50.26054890;18.93952900;CHORZÓW;NIEDŹWIEDZINIEC;41-506;Polska;POLSKA;ŚLĄSKIE;NULL;2000.000;F;NULL;NULL;NULL
SV0000091517;CHORZÓW STARY (S);72207;CHORZÓW STARY;CHORZÓW STARY (STACJA);Maciejkowicka, Chorzów, Polska;Chorzów Trzeci;50.31324180;18.98073460;CHORZÓW;Maciejkowicka;41-503;Chorzów;POLSKA;ŚLĄSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000092153;CHOSZCZEWO (D);NULL;NULL;CHOSZCZEWO (DOM);473, Szadek, Polska;Krucica;51.72251390;18.95854820;CHOSZCZEWO;NULL;98-240;gmina Szadek;POLSKA;ŁÓDZKIE;NULL;2000.000;NULL;NULL;NULL;NULL
SV0000092151;CHOSZCZEWO (S);NULL;NULL;CHOSZCZEWO (STACJA);473, 98-240 Choszczewo, Polska;Krucica;51.73270600;18.95276680;CHOSZCZEWO;NULL;98-240;gmina Szadek;POLSKA;ŁÓDZKIE;NULL;2000.000;NULL;NULL;NULL;NULL
