sv_kod;kod;plk;stacja;opiskod1;pelna;dzielnica;szerokosc;dlugosc;miasto;ulica;kod_p;gmina;kraj;wojewodztwo;nrposesjiwpis;promien;jednorazowy;kod_pracy;uwagi;blok
SV0000089028;MALICHY (S);35139;MALICHY;MALICHY (STACJA);PRUSZKÓW LAZUROWA woj.MAZOWIECKIE Stacja:MALICHY;NULL;52.16835180;20.84123600;PRUSZKÓW;LAZUROWA;05-800;NULL;POLSKA;MAZOWIECKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;MALINOWO (D);NULL;NULL;MALINOWO (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000084715;MALINOWO (S);7153;MALINOWO;MALINOWO (STACJA);TCZEW AL. SOLIDARNOŚCI woj.POMORSKIE Stacja:MALINOWO;NULL;54.10576000;18.77044000;TCZEW;AL. SOLIDARNOŚCI;83-100;NULL;POLSKA;POMORSKIE;NULL;600.000;NULL;NULL;NULL;NULL
NULL;MAŁA (D);NULL;NULL;MAŁA (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MAŁA (S);NULL;NULL;MAŁA (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MAŁACHOWO (D);NULL;NULL;MAŁACHOWO (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MAŁACHOWO (S);NULL;NULL;MAŁACHOWO (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;MAŁASZEWICZE (D);NULL;NULL;MAŁASZEWICZE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000088510;MAŁASZEWICZE (S);40600;MAŁASZEWICZE;MAŁASZEWICZE (STACJA);MAŁASZEWICZE (STACJA) 21-540 woj.LUBELSKIE;NULL;52.02404250;23.53105570;MAŁASZEWICZE;NULL;21-540;NULL;POLSKA;LUBELSKIE;NULL;2000.000;NULL;NULL;l;NULL
SV0000120414;MAŁASZEWICZE POD DĘBAMI (H);NULL;NULL;MAŁASZEWICZE POD DĘBAMI HOTEL WARSZAWSKA 1 (HOTEL);HOTEL POD DĘBAMI, WARSZAWSKA 35, 21-540 PLACÓWKA, POLSKA;NULL;52.05330390;23.56240500;MAŁASZEWICZE POD DĘBAMI;Warszawska;21-540;gmina Terespol;POLSKA;LUBELSKIE;NULL;4000.000;NULL;NULL;NULL;NULL
SV0000120413;MAŁASZEWICZE POD LWAMI (H);NULL;NULL;MAŁASZEWICZE POD LWAMI HOTEL WARSZAWSKA 29 (HOTEL);WARSZAWSKA 29, 21-540 MAŁASZEWICZE DUŻE, POLSKA;NULL;52.03886290;23.50869240;MAŁASZEWICZE DUŻE;Warszawska;21-540;gmina Terespol;POLSKA;LUBELSKIE;NULL;4000.000;NULL;NULL;NULL;NULL
NULL;MAŁASZEWICZE POŁ (S);NULL;NULL;MAŁASZEWICZE POŁUDNIOWE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000086407;MAŁASZEWICZE POŁ UL. KOLEJARZY (PDLK);NULL;NULL;MAŁASZEWICZE POŁUDNIOWE  UL. KOLEJARZY (PUNKT DODATKOWY LK);MAŁASZEWICZE POŁUDNIOWE  UL. KOLEJARZY (PUNKT DODATKOWY LK) 21-540 woj.LUBELSKIE;NULL;52.02956920;23.54005140;MAŁASZEWICZE POŁ UL. KOLEJARZY;NULL;21-540;NULL;POLSKA;LUBELSKIE;NULL;500.000;NULL;NULL;l;NULL
